Subfamily,Genus,Species,Phylogeny,Morphotype,Habit,Conformation,Biogeography,Organ,References
Papilionoideae,Astragalus,mongholicus,Yes,Neoformations (pathogen induced),Herb,Intraxylary,Holarctic,Root,Li et al. 2018
Papilionoideae,Austrosteenisia,mollitricha,No,Neoformations,Liana,Unknown ,Australian,Stem,Zich et al. 2020
Papilionoideae,Austrosteenisia,stipularis,No,Neoformations,Liana,Unknown ,Australian,Stem,Zich et al. 2020
Papilionoideae,Brachypterum,koolgibberah,Yes,Successive cambia,Liana,Continuous,Australian,Stem,Zich et al. 2020
Papilionoideae,Butea,superba,Yes,Successive cambia,Liana,Continuous,Indo-Malesian,Stem,POWO 2026
Papilionoideae,Canavalia,ensiformis,Yes,Neoformations,Liana,Extraxylary,Neotropical,Stem,Rajput 2003
Papilionoideae,Canavalia,cathartica,Yes,Neoformations,Liana,Intraxylary,Palaeotropical,Stem,Rajput 2025
Papilionoideae,Canavalia,gladiata,Yes,Neoformations,Liana,Intraxylary,Indo-Malesian,Stem,Rajput 2025
Papilionoideae,Dalbergia,amazonica,No,Neoformations,Liana,Unknown ,Neotropical,Stem,Acevedo-Rodriguez 2020
Papilionoideae,Dalbergia,foliosa,No,Successive cambia,Liana,Continuous,Indo-Malesian,Stem,Acevedo-Rodríguez 2020
Papilionoideae,Dalbergia,riedelii,No,Successive cambia,Liana,Discontinuous,Neotropical,Stem,Acevedo-Rodríguez 2020
Papilionoideae,Dalbergia,monetaria,Yes,Neoformations,Liana,Unknown ,Neotropical,Stem,Caballé 1993
Papilionoideae,Dalbergia,ngounyensis,No,Neoformations,Liana,Unknown ,Afrotropical,Stem,Caballé 1993
Papilionoideae,Dalbergia,frutescens,Yes,Successive cambia,Liana,Continuous,Neotropical,Stem,Geralamo et al. 2021
Papilionoideae,Dalbergia,ferruginea,No,Successive cambia,Liana,Continuous,Indo-Malesian,Stem,Zich et al. 2020
Papilionoideae,Dalbergia,paniculata,Yes,Successive cambia,Tree,Continuous,Indo-Malesian,Stem,Nair & Ram 1990
Papilionoideae,Daviesia,brevifolia,No,Successive cambia,Shrub,Continuous,Australian,Root,Pate et al. 1989
Papilionoideae,Daviesia,debilior,No,Successive cambia,Shrub,Continuous,Australian,Root,Pate et al. 1989
Papilionoideae,Daviesia,decurrens,No,Successive cambia,Shrub,Continuous,Australian,Root,Pate et al. 1989
Papilionoideae,Daviesia,emarginata,No,Successive cambia,Shrub,Continuous,Australian,Root,Pate et al. 1989
Papilionoideae,Daviesia,hakeiodes,No,Successive cambia,Shrub,Continuous,Australian,Root,Pate et al. 1989
Papilionoideae,Daviesia,inflata,No,Successive cambia,Shrub,Continuous,Australian,Root,Pate et al. 1989
Papilionoideae,Daviesia,mesophylla,No,Successive cambia,Shrub,Continuous,Australian,Root,Pate et al. 1989
Papilionoideae,Daviesia,microphylla,No,Successive cambia,Shrub,Continuous,Australian,Root,Pate et al. 1989
Papilionoideae,Daviesia,physodes,No,Successive cambia,Shrub,Continuous,Australian,Root,Pate et al. 1989
Papilionoideae,Daviesia,podophylla,No,Successive cambia,Shrub,Continuous,Australian,Root,Pate et al. 1989
Papilionoideae,Daviesia,preissii,No,Successive cambia,Shrub,Discontinuous,Australian,Root,Pate et al. 1989
Papilionoideae,Daviesia,quadrilatera,No,Successive cambia,Shrub,Discontinuous,Australian,Root,Pate et al. 1989
Papilionoideae,Daviesia,triflora,No,Successive cambia,Shrub,Continuous,Australian,Root,Pate et al. 1989
Papilionoideae,Daviesia,euphorbioides,No,Successive cambia,Shrub,Continuous,Australian,Root,Pate et al. 1989
Papilionoideae,Daviesia,gracilis,No,Successive cambia,Shrub,Continuous,Australian,Root,Pate et al. 1989
Papilionoideae,Daviesia,flexuosa,No,Successive cambia,Shrub,Discontinuous,Australian,Stem,Stepanova et al. 2017
Papilionoideae,Deguelia,negrensis,Yes,Successive cambia,Liana,Continuous,Neotropical,Stem,Solereder 1908
Papilionoideae,Derris,elliptica,Yes,Successive cambia,Liana,Continuous,Indo-Malesian,Stem,Gasson et al. 2004
Papilionoideae,Derris,trifoliata,Yes,Successive cambia,Liana,Continuous,Palaeotropical,Stem,Metcalfe & Chalk 1950; Gasson et al. 2004; Zich et al. 2020
Caesalpinioideae,Entada,gigas,Yes,Successive cambia,Liana,Discontinuous,Neotropical,Stem,Carlquist 1988; Acevedo-Rodriguez 2020
Caesalpinioideae,Entada,polystachia,Yes,Successive cambia,Liana,Discontinuous,Neotropical,Stem,Pfeiffer 1926
Caesalpinioideae,Entada,phaseoloides,Yes,Successive cambia,Liana,Discontinuous,Indo-Malesian,Stem,Yang et al. 2022
Caesalpinioideae,Entada,rheedei,Yes,Successive cambia,Liana,Discontinuous,Palaeotropical,Stem,Yang et al. 2022
Caesalpinioideae,Entada,tonkinensis,Yes,Successive cambia,Liana,Discontinuous,Holarctic,Stem,Yang et al. 2022
Papilionoideae,Glycine,max,Yes ,Neoformations (herbicide induced),Herb,Unknown ,Holarctic,Stem,Struckmeyer et al. 1976
Dialioideae,Koompassia,malaccensis,Yes,Successive cambia,Tree,Continuous,Indo-Malesian,Stem,InsideWood 2004-onwards; Robert et al. 2011
