Section,Field,Level,Value
Totals,Genus,NA,29
Totals,Species,NA,107
Totals,Biogeography,Unique list (alphabetical),"Afrotropical, Australian, Holarctic, Indo-Malesian, Neotropical, Palaeotropical"
Counts,Morphotype,Successive cambia,78
Counts,Morphotype,Neoformations,31
Counts,Morphotype,Neoformations (herbicide induced),1
Counts,Morphotype,Neoformations (pathogen induced),1
Counts,Habit,Liana,87
Counts,Habit,Shrub,17
Counts,Habit,Tree,4
Counts,Habit,Herb,2
Counts,Habit,Vine,1
Counts,Organ,Stem,87
Counts,Organ,Root,19
Counts,Organ,Both,5
